n,recursivo,top_down,bottom_up
0,0.003971999944951676,0.0053240000283949485,0.0018119999936061504
1,0.0018210000121143821,0.003922000018974359,0.0008580000212532468
2,0.001936999979079701,0.003052000010939082,0.0015710000411672809
3,0.0029009999593654356,0.004221999972742196,0.001845999975103041
4,0.0030830000241621747,0.004724999996597035,0.0017689999936010281
5,0.0032250000003841706,0.0055670000165264355,0.001748999977735366
6,0.003767000009702315,0.006490999965080846,0.0018220000015389815
7,0.004335000028277136,0.006504999987555493,0.0019869999619004375
8,0.004128000000491738,0.006606999988889584,0.0017019999631884275
9,0.004613000044173532,0.007141000025967514,0.0019220000240238733
10,0.0054700000191587606,0.009137000006376184,0.0020159999962743314
11,0.006593999955839536,0.009532000035505916,0.002025000014782563
12,0.006278000000747852,0.010693000035644218,0.001839999981712026
13,0.004859000000578817,0.009936000026300462,0.001936999979079701
14,0.005730999987463292,0.010592000023734727,0.0020449999738048064
15,0.004832000001897541,0.01098899997487024,0.0021939999896858353
16,0.005679000025793357,0.011752000034448429,0.0025969999910557817
17,0.006361000032484299,0.013593999995009654,0.0033339999845338752
18,0.006767000002128043,0.015234000045438734,0.0031079999871508335
19,0.007351999954607891,0.014813999996476923,0.003270999968663091
20,0.007363999998233339,0.01593600001115192,0.0036630000295190257
21,0.007948000018132007,0.044513000034385186,0.004138000008424569
22,0.00757999998768355,0.017377999995460414,0.0030589999937546963
23,0.006475999953181599,0.016513999980816152,0.0031439999474969227
24,0.0067619999981616274,0.015143999974043254,0.003607999985888455
25,0.007836000008865085,0.01584399996090724,0.004248999971423473
26,0.007376000041858788,0.017184999990149663,0.003680000020267471
27,0.009046999991824123,0.019232999989071686,0.003998000011051772
28,0.0082970000221394,0.01841899995724816,0.003781000032176962
29,0.009555000019645377,0.02091699997208707,0.004607000050782517
30,0.009464000015668717,0.021967999998651067,0.0038850000123602513
31,0.009214999977302796,0.021718999960285146,0.003858000013678975
32,0.009443000010378455,0.021681000021089858,0.003543999980593071
33,0.012282000000141124,0.024160000009487703,0.0050910000481962925
34,0.011791000019911735,0.025626000024203677,0.0040410000110568944
35,0.010378000013133715,0.022376999993412028,0.00462700000980476
36,0.010995999957685854,0.022576999981538393,0.003963000040130282
37,0.0106909999999516,0.04537999996045983,0.013512999998965824
38,0.013663000004271453,0.031614999954854284,0.00614399999676607
39,0.013762999969912926,0.02668399997673987,0.005540000017845159
40,0.011235999977543543,0.04510599995910525,0.006632000008721661
